Nested Sampling Global Log-Evidence           :    0.653878105807863176E+04  +/-    0.610495222329138110E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.653878105807863176E+04 +/-    0.610495222329138110E+00
Local Log-Evidence    0.653878105807863176E+04 +/-    0.610495222329138110E+00

Dim No.       Mean        Sigma
   1    0.261997250187267919E-02    0.140911288687299704E-02
   2   -0.909783258360464045E-03    0.129517517211578817E-02
   3    0.205451016470171416E+00    0.188882758385346453E-02
   4    0.327542408023118051E-02    0.816250145594494582E-02
   5   -0.415439086167830422E-02    0.718239611409733029E-02
   6    0.159935384357186328E+01    0.104892312640381645E-02
   7    0.192586929147594565E+00    0.130500466218428030E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.144079438155766048E-02
   2   -0.116442336330854204E-02
   3    0.203139669240233717E+00
   4    0.359124487898268563E-02
   5   -0.469528346165712374E-02
   6    0.159828324317568016E+01
   7    0.193494520035161682E+00

MAP Parameters
Dim No.        Parameter
   1    0.144079438155766048E-02
   2   -0.116442336330854204E-02
   3    0.203139669240233717E+00
   4    0.359124487898268563E-02
   5   -0.469528346165712374E-02
   6    0.159828324317568016E+01
   7    0.193494520035161682E+00
