Nested Sampling Global Log-Evidence           :    0.654807257963114171E+04  +/-    0.847283442265172160E+00

Dim No.       Mean        Sigma
   1    0.905950257666716552E+00    0.161953799325537488E-01
   2    0.446465351368424095E+02    0.300812942435571840E+01
   3    0.421606171147225137E-01    0.467899758042149803E-02
   4    0.417460597001087563E+00    0.333147054810768450E-01
   5    0.782385824422779041E+00    0.339407371100187158E-02
   6   -0.732670032944317593E-04    0.353127910902501776E-02
   7    0.131722280804574278E-02    0.244412864065843369E-02
   8    0.676298688173928575E+00    0.253858136772156413E-01
   9    0.931116138650843084E+02    0.143262905935232920E+01
  10    0.499359682614251565E-01    0.548397796776149183E-04
  11    0.287819872401989973E+00    0.582940166841180215E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.889926373194329878E+00
   2    0.408232347260426920E+02
   3    0.406630922639890924E-01
   4    0.425504454138403765E+00
   5    0.781679090277891730E+00
   6   -0.427055180511843203E-02
   7    0.276114222336323574E-02
   8    0.665387132904947332E+00
   9    0.939919566779569351E+02
  10    0.499671136878178379E-01
  11    0.289086219053369620E+00

MAP Parameters
Dim No.        Parameter
   1    0.889926373194329878E+00
   2    0.408232347260426920E+02
   3    0.406630922639890924E-01
   4    0.425504454138403765E+00
   5    0.781679090277891730E+00
   6   -0.427055180511843203E-02
   7    0.276114222336323574E-02
   8    0.665387132904947332E+00
   9    0.939919566779569351E+02
  10    0.499671136878178379E-01
  11    0.289086219053369620E+00
