Nested Sampling Global Log-Evidence           :    0.556149833386422688E+04  +/-    0.968337134171233682E+00

Dim No.       Mean        Sigma
   1   -0.813645168098852019E-02    0.441726013015189165E-03
   2   -0.481182826234652610E-03    0.367129248679556115E-03
   3    0.848565681997593413E+00    0.331333613152283608E-02
   4    0.565724723279352446E+02    0.568757450668710640E+00
   5    0.243464866307246952E+00    0.281956831547351553E-02
   6    0.699073191423239981E+00    0.645913712166361603E-02
   7    0.307282390240830194E+01    0.136566809936992020E-01
   8    0.312182522946898673E-02    0.174381271433635940E-03
   9    0.333115806611898645E-02    0.349593938333598523E-03
  10    0.832536677585288709E+00    0.358537399338840451E-03
  11    0.448798056964448477E+02    0.138351708364369240E-01
  12    0.159186567543953283E+01    0.297013416749412429E-03
  13    0.232298299819981569E-02    0.145062925299665530E-03
  14    0.474282919408298455E-02    0.310533179298315008E-03
  15    0.989415611745776524E+00    0.339172761785429136E-02
  16    0.906575679582673217E+02    0.107174223141682723E+01
  17    0.720482317982669151E-01    0.283089237631962715E-02
  18    0.331943037082548020E+00    0.393720573003991225E-02
  19    0.456713452900441652E+01    0.912797090317353857E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.815070433152413273E-02
   2   -0.469337101218110129E-03
   3    0.848458774501549495E+00
   4    0.565908237515441073E+02
   5    0.243555841981483168E+00
   6    0.698864782089299474E+00
   7    0.307238325844361793E+01
   8    0.311619867534161264E-02
   9    0.334243800002739745E-02
  10    0.832548246087269295E+00
  11    0.448802520995298977E+02
  12    0.159185609205908940E+01
  13    0.231830242445262577E-02
  14    0.475284880070302607E-02
  15    0.989525048607144964E+00
  16    0.906229873199563087E+02
  17    0.719568907439599725E-01
  18    0.332070074240658764E+00
  19    0.456742905043976499E+01

MAP Parameters
Dim No.        Parameter
   1   -0.815070433152413273E-02
   2   -0.469337101218110129E-03
   3    0.848458774501549495E+00
   4    0.565908237515441073E+02
   5    0.243555841981483168E+00
   6    0.698864782089299474E+00
   7    0.307238325844361793E+01
   8    0.311619867534161264E-02
   9    0.334243800002739745E-02
  10    0.832548246087269295E+00
  11    0.448802520995298977E+02
  12    0.159185609205908940E+01
  13    0.231830242445262577E-02
  14    0.475284880070302607E-02
  15    0.989525048607144964E+00
  16    0.906229873199563087E+02
  17    0.719568907439599725E-01
  18    0.332070074240658764E+00
  19    0.456742905043976499E+01
