Nested Sampling Global Log-Evidence           :   -0.172353040847264463E+06  +/-    0.110697581350891228E+01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.172353040847264463E+06 +/-    0.110697581350891228E+01
Local Log-Evidence   -0.172353040847264463E+06 +/-    0.110697581350891228E+01

Dim No.       Mean        Sigma
   1   -0.121992067457309984E-01    0.588703131670108726E-03
   2   -0.571633366834901988E-02    0.483632513297399980E-03
   3    0.734589013509882371E+00    0.787698140872749100E-03
   4    0.816078447107327491E+02    0.906483628290458698E-01
   5    0.621028902857414411E+00    0.432329850586433626E-02
   6    0.228242182321664977E+01    0.893601963186292127E-02
   7    0.194791922365224845E+01    0.871546898881919892E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.123084011476552700E-01
   2   -0.582503863408132851E-02
   3    0.734231500346295807E+00
   4    0.816278403082335018E+02
   5    0.622145846656902646E+00
   6    0.228057411386959474E+01
   7    0.194529543816939388E+01

MAP Parameters
Dim No.        Parameter
   1   -0.123914054884166295E-01
   2   -0.599902360868658641E-02
   3    0.735404053503579513E+00
   4    0.815641048570144278E+02
   5    0.616142962836712105E+00
   6    0.229199552516605731E+01
   7    0.195498314831210096E+01
