Nested Sampling Global Log-Evidence           :   -0.282241427440160878E+05  +/-    0.107471340338772525E+01

Dim No.       Mean        Sigma
   1    0.705545983563073853E+00    0.135558970892953523E-03
   2    0.419724269298751409E+02    0.204342408010176960E-01
   3    0.161625330667284439E+01    0.481177069125920961E-04
   4    0.399815543386573893E-01    0.527122252654391887E-04
   5    0.930500781741192924E+02    0.307254106595555715E-01
   6    0.994982094968747122E-01    0.582089775949808737E-04
   7    0.943435032643789168E-01    0.187558683574847465E-04
   8    0.791755588465812954E+00    0.651597682941342979E-03
   9    0.536157489862766496E+02    0.607569800809927771E-01
  10    0.213828283020494991E+01    0.882251346809521117E-03
  11    0.195413582769668914E+00    0.306898765177761500E-04
  12    0.842746665466648559E+00    0.853631919141615019E-03
  13    0.458033254712379191E-02    0.246364249616159856E-04
  14    0.438636013678966527E-02    0.244613326747793479E-04

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.705547284357088467E+00
   2    0.419726766774050049E+02
   3    0.161625290373249242E+01
   4    0.399821533590239142E-01
   5    0.930504048281489844E+02
   6    0.994974996646295351E-01
   7    0.943433608715715522E-01
   8    0.791763658258289205E+00
   9    0.536150030864749070E+02
  10    0.213827232065495432E+01
  11    0.195413215939250429E+00
  12    0.842756631066549855E+00
  13    0.458003241292048724E-02
  14    0.438612719050687772E-02

MAP Parameters
Dim No.        Parameter
   1    0.705547284357088467E+00
   2    0.419726766774050049E+02
   3    0.161625290373249242E+01
   4    0.399821533590239142E-01
   5    0.930504048281489844E+02
   6    0.994974996646295351E-01
   7    0.943433608715715522E-01
   8    0.791763658258289205E+00
   9    0.536150030864749070E+02
  10    0.213827232065495432E+01
  11    0.195413215939250429E+00
  12    0.842756631066549855E+00
  13    0.458003241292048724E-02
  14    0.438612719050687772E-02
