Nested Sampling Global Log-Evidence           :   -0.315383198618653638E+06  +/-    0.968407842336662550E+00

Dim No.       Mean        Sigma
   1    0.136331011181417371E-03    0.119712727238690934E-03
   2    0.999930234879650159E+00    0.630524372354748417E-04
   3    0.998988759327448572E+00    0.955261567175470436E-03
   4    0.485960914701379865E+00    0.284124833175922853E+00
   5    0.673420967223210321E+00    0.290240943707228754E-02
   6    0.880938620082501678E+00    0.212706661465712028E-02
   7    0.800036370268867758E+00    0.332574472998706016E-04
   8    0.999945449644732642E+00    0.548231450351100545E-04
   9    0.187542932006970502E-03    0.179134106307567441E-03
  10    0.999869915216276439E+00    0.117619140837238491E-03
  11    0.483172621250665513E+00    0.282440604243100968E+00
  12    0.458283470197486276E+00    0.249637338596242096E-02
  13    0.895983638806745697E+00    0.277042314738807499E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.510559605324583320E-04
   2    0.999978299987687391E+00
   3    0.999710310523162615E+00
   4    0.188102029565695855E+00
   5    0.673005320947634655E+00
   6    0.882108518155537036E+00
   7    0.800003464299190670E+00
   8    0.999991756979016544E+00
   9    0.937150524234569259E-04
  10    0.999938358736236155E+00
  11    0.245400227393677631E-01
  12    0.457582178943922724E+00
  13    0.894960085112480153E+00

MAP Parameters
Dim No.        Parameter
   1    0.168112645872827489E-03
   2    0.999959304990077014E+00
   3    0.999997963614546959E+00
   4    0.873866108656358387E+00
   5    0.671168205598514755E+00
   6    0.882607686561610816E+00
   7    0.800042350568765381E+00
   8    0.999910787319538752E+00
   9    0.127058590302439730E-03
  10    0.999921231454398596E+00
  11    0.148293388464404541E+00
  12    0.456367736197541951E+00
  13    0.892507805487190442E+00
