Nested Sampling Global Log-Evidence           :   -0.148614476099333202E+06  +/-    0.153176947003301733E+01

Dim No.       Mean        Sigma
   1    0.911901338286383978E+00    0.228035491474689201E-02
   2    0.856319731335218992E+00    0.569635648980737486E-01
   3    0.998791562947449862E+00    0.339207735786589541E-03
   4    0.635505594167208761E-02    0.138348687248038716E-02
   5    0.119690934698587617E+00    0.143536384354301827E+00
   6    0.350010494078536148E-02    0.104180182526022406E-02
   7    0.162352888891832367E-02    0.773418019730697003E-03
   8    0.995794158162686460E+00    0.342531602318165568E-02
   9    0.564168445985941625E+00    0.137267577739976082E+00
  10    0.815695544656321436E+00    0.823979107184559154E-03
  11    0.989534285327284824E+00    0.101022768103780866E-02
  12    0.816222352221240732E+00    0.178404996197213087E-02
  13    0.923084048822136904E+00    0.121493355646005237E-02
  14    0.888730785407284452E+00    0.123593121991943207E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.912523296526449701E+00
   2    0.822358331990636127E+00
   3    0.999165621691026740E+00
   4    0.729994579198721925E-02
   5    0.983204073464678807E-02
   6    0.317173530749604009E-02
   7    0.121211306644678244E-02
   8    0.996071477612323730E+00
   9    0.388422107514742376E+00
  10    0.815736773104936641E+00
  11    0.989342823882698452E+00
  12    0.817296716409601776E+00
  13    0.921570300662627462E+00
  14    0.886967132414325343E+00

MAP Parameters
Dim No.        Parameter
   1    0.911939017539019514E+00
   2    0.790762387856976057E+00
   3    0.998995498535408477E+00
   4    0.638334153145569093E-02
   5    0.239286208711059212E-01
   6    0.287089559642553921E-02
   7    0.186577470450487084E-02
   8    0.992593321486829661E+00
   9    0.421388682536624981E+00
  10    0.815634875654089542E+00
  11    0.990162405381430744E+00
  12    0.815886826818432387E+00
  13    0.921573438091584207E+00
  14    0.888743158519349596E+00
