Nested Sampling Global Log-Evidence           :   -0.229673095751411938E+04  +/-    0.863460333538686231E+00

Dim No.       Mean        Sigma
   1    0.135334599166646613E+00    0.328596770296327514E-01
   2    0.965374011033131829E+01    0.840784021184330099E-01
   3    0.837460285871831744E+00    0.872572969883768541E-02
   4   -0.298461682724926902E+00    0.164223401109576568E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.101168919380002900E+00
   2    0.959604260952243671E+01
   3    0.836630378893746141E+00
   4   -0.314260854177105919E+00

MAP Parameters
Dim No.        Parameter
   1    0.143470408453989423E+00
   2    0.963263696527512181E+01
   3    0.829625085759071013E+00
   4   -0.305153792331218310E+00
