Nested Sampling Global Log-Evidence           :   -0.159708643062495161E+06  +/-    0.856603005942925932E+00

Dim No.       Mean        Sigma
   1    0.632194496377306847E+00    0.209413944156662257E+00
   2    0.934317058364661222E+02    0.468549475211106525E+02
   3    0.277595709579318698E-04    0.229841306328285868E-03
   4    0.135317741562449423E+01    0.915557597951109359E+00
   5    0.378440542359084997E+01    0.199995544425452354E+01
   6    0.154188974806711232E+00    0.276982465411694783E-02
   7    0.140859502183732804E+00    0.251546448278163652E-02
   8    0.809591897964831553E+00    0.181695434432023245E-02
   9    0.725113499615704455E+02    0.334214152462353586E+00
  10    0.543105118640772155E+00    0.113792227136042543E-02
  11    0.256618708882564261E+01    0.516085090712866366E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.699097999283036509E+00
   2    0.238174727824315831E+02
   3    0.252743717835607166E-02
   4    0.245049602857040627E+01
   5    0.646971770605628604E+00
   6    0.161790733987915436E+00
   7    0.148104942234446701E+00
   8    0.809916054394592466E+00
   9    0.718638941767277828E+02
  10    0.545391626671491436E+00
  11    0.253882691656595583E+01

MAP Parameters
Dim No.        Parameter
   1    0.850258682544091426E+00
   2    0.149952297767773956E+03
   3    0.238996586218352412E-05
   4    0.157458553439885152E+01
   5    0.203535053772651020E+01
   6    0.148338329357006693E+00
   7    0.137613477583044569E+00
   8    0.809646040926402799E+00
   9    0.725950574943591249E+02
  10    0.543409245093851356E+00
  11    0.256737454512827634E+01
