Nested Sampling Global Log-Evidence           :   -0.582488539868992884E+05  +/-    0.116657903311381417E+01

Dim No.       Mean        Sigma
   1    0.984255808814399669E+00    0.365845721220370290E-02
   2    0.554068564673862056E+02    0.676570257585468759E+01
   3    0.149251970963740299E+01    0.601896203759695516E-03
   4    0.239430623917962181E-01    0.111439674211839270E-02
   5    0.477418344094867706E+02    0.124594333818689029E+01
   6    0.118794530332005557E+00    0.856158735039999987E-03
   7    0.119276688554565122E+00    0.870861278445224569E-03
   8    0.777518053488074901E+00    0.609276067381410436E-02
   9    0.571749284547353227E+02    0.863405912205011061E+00
  10    0.282300706033271798E+01    0.252583128809705793E-01
  11    0.133779239559338792E+00    0.633825265428374454E-03
  12    0.723954503038746977E+00    0.112411968326105154E-01
  13    0.118905028628816505E-01    0.135089592682755000E-02
  14    0.895088773062605210E-02    0.133563180558186521E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.983858659075252051E+00
   2    0.601180599362963690E+02
   3    0.149265023554318921E+01
   4    0.240063915577844768E-01
   5    0.488930663965836843E+02
   6    0.118876280000740034E+00
   7    0.119467302570464728E+00
   8    0.773452995529968268E+00
   9    0.567975656538575606E+02
  10    0.279954071622167877E+01
  11    0.134162289603846185E+00
  12    0.727474663609635641E+00
  13    0.127284951506466751E-01
  14    0.912189995070786935E-02

MAP Parameters
Dim No.        Parameter
   1    0.982739451334591951E+00
   2    0.590521841015008135E+02
   3    0.149256917076504680E+01
   4    0.236427304466702397E-01
   5    0.486794658232277015E+02
   6    0.119493681719434600E+00
   7    0.119609865898308590E+00
   8    0.782912573887685426E+00
   9    0.556501199161824829E+02
  10    0.282679890864782735E+01
  11    0.133409734605470981E+00
  12    0.727560454659411993E+00
  13    0.127481023598820103E-01
  14    0.881380685100091599E-02
