Nested Sampling Global Log-Evidence           :   -0.129170089723675192E+06  +/-    0.148343407661329074E+01

Dim No.       Mean        Sigma
   1    0.106305187128731091E+00    0.852588973047734987E-03
   2    0.110951637929500399E+00    0.138530628961815584E-02
   3    0.902010889546273287E+00    0.390741508632277534E-02
   4    0.170850757056169533E+00    0.722436432914191073E-01
   5    0.813601573229372765E+00    0.198921126001167349E-02
   6    0.990346082441287412E+00    0.482976215665181438E-02
   7    0.989212237741502687E+00    0.156598720599000350E-02
   8    0.898276192684612562E+00    0.280713590490244171E-02
   9    0.220414339005145343E+00    0.718173547944955942E-01
  10    0.999542465415310555E+00    0.142808042262247920E-03
  11    0.130802157117539813E-02    0.902139817276030207E-03
  12    0.675272971745383144E+00    0.118574427211895345E+00
  13    0.282321877477810131E-01    0.168938441815960801E-02
  14    0.582392203331832878E-01    0.613209282078830105E-03
  15    0.989007487492830406E+00    0.342117718349723918E-02
  16    0.834383023637551902E+00    0.938396048997255233E-01
  17    0.998230599418836961E+00    0.279453785364286173E-03
  18    0.998491439054972729E+00    0.863862185282804362E-03
  19    0.809952106269844707E+00    0.859902228279755404E-03
  20    0.631462887181396093E+00    0.146229020218312808E-02
  21    0.576324492620049700E+00    0.551955682701885174E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.107124751106099522E+00
   2    0.107106704462876970E+00
   3    0.910403839094618861E+00
   4    0.857670516994311627E-01
   5    0.811890708000418071E+00
   6    0.996386100267093622E+00
   7    0.990300500357662372E+00
   8    0.904083940827686838E+00
   9    0.480533604169507966E+00
  10    0.999582634838442230E+00
  11    0.435942188493054945E-02
  12    0.853402423407045418E+00
  13    0.242467926403249004E-01
  14    0.570092501623753259E-01
  15    0.998951456269360105E+00
  16    0.654293873061548625E+00
  17    0.997908838417477795E+00
  18    0.997788012962624093E+00
  19    0.808796398148452500E+00
  20    0.626872735536259773E+00
  21    0.577309079253388591E+00

MAP Parameters
Dim No.        Parameter
   1    0.105095190826415649E+00
   2    0.110695380781919234E+00
   3    0.902778114521648134E+00
   4    0.192640218413639708E+00
   5    0.811976236809472618E+00
   6    0.990106440019759115E+00
   7    0.988995960530636653E+00
   8    0.902121431659202999E+00
   9    0.298440451142707341E+00
  10    0.999365511396565820E+00
  11    0.833785347941241872E-03
  12    0.689996905368358782E+00
  13    0.285717318931647951E-01
  14    0.577107007124366064E-01
  15    0.988238227665719227E+00
  16    0.811266787377991738E+00
  17    0.997971415299691245E+00
  18    0.999152837088631673E+00
  19    0.810465695084213511E+00
  20    0.630812131555937072E+00
  21    0.575485478874354750E+00
