Nested Sampling Global Log-Evidence           :   -0.162112293706804508E+04  +/-    0.985948664283087139E+00

Dim No.       Mean        Sigma
   1    0.364328006416996431E+01    0.208988744132905607E+00
   2    0.864006756454712033E+01    0.123558154904101075E-01
   3    0.906490130219906542E+00    0.241832043276427912E-02
   4   -0.336569214617344833E-01    0.104135419943387651E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.352873918826577082E+01
   2    0.865267161790997363E+01
   3    0.907892925190461497E+00
   4   -0.339365456970139867E-01

MAP Parameters
Dim No.        Parameter
   1    0.366883228955943386E+01
   2    0.863415867190525788E+01
   3    0.904678810750175089E+00
   4   -0.323740573485242766E-01
