Nested Sampling Global Log-Evidence           :   -0.912823885637359467E+03  +/-    0.112516562292552025E+01

Dim No.       Mean        Sigma
   1    0.684534648704700910E+01    0.665345302875625211E+00
   2    0.401548628309366649E+02    0.105306444574472757E+01
   3    0.134094673319411517E+01    0.113541561746099712E-01
   4    0.220010310684062276E+02    0.462864586143457934E+01
   5    0.146598951688723940E+02    0.190905419158966372E+01
   6    0.104022283397780391E+01    0.383810873645087439E-01
   7    0.133116985682716076E-02    0.823121808843074666E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.671807442915899955E+01
   2    0.427738218550802998E+02
   3    0.135771166658757503E+01
   4    0.177320035706838439E+02
   5    0.161390386564809560E+02
   6    0.107691820576975550E+01
   7    0.255461596868283847E-02

MAP Parameters
Dim No.        Parameter
   1    0.660575214664488897E+01
   2    0.397943348400698156E+02
   3    0.133841893148421853E+01
   4    0.316627807542595647E+02
   5    0.119410996635541125E+02
   6    0.990731771929896810E+00
   7    0.199028404873263787E-03
