Nested Sampling Global Log-Evidence           :   -0.416563469260559395E+04  +/-    0.777824398409151629E+00

Dim No.       Mean        Sigma
   1    0.168548147595039843E+02    0.120844773060080057E+01
   2    0.847316783073737234E+01    0.385919050139370112E+00
   3    0.292975879297224462E+00    0.124128139828648607E-01
   4   -0.201472661734264730E+00    0.483181827202988842E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.169515198096595157E+02
   2    0.894602084065672898E+01
   3    0.305788144949872276E+00
   4   -0.157141183916274407E+00

MAP Parameters
Dim No.        Parameter
   1    0.162463231925164813E+02
   2    0.882538106111873510E+01
   3    0.300578119237222552E+00
   4   -0.176105843248128613E+00
