Nested Sampling Global Log-Evidence           :   -0.895861905063891982E+03  +/-    0.182118900940513945E+00

Dim No.       Mean        Sigma
   1   -0.159473580846633128E-01    0.285370588793209201E+00
   2    0.445256144277278235E-01    0.261839266547621574E+00
   3    0.585627095999762926E+00    0.209036423049915016E+00
   4    0.849113411633283164E+02    0.467092857106533472E+02
   5    0.179490882388728457E+01    0.112682553264179619E+01
   6    0.141489027276440860E+00    0.629660254192707519E-01
   7    0.953481157670033781E+02    0.495708400482754783E+02
   8    0.318896776316357792E-02    0.267712607590484541E+00
   9   -0.336216346140680092E-01    0.294562493924344360E+00
  10    0.626544769348547415E+00    0.194372662710194322E+00
  11    0.937581648045765803E+02    0.524571006333572214E+02
  12    0.451158028441684832E-03    0.150901212667202168E-01
  13    0.152624571947018572E+01    0.115195626534943263E+01
  14    0.406670040418505607E+01    0.208635874677028754E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.226138081097208926E+00
   2    0.122868521876712933E+00
   3    0.359210102599743342E+00
   4    0.651366969451092643E+02
   5    0.173514870059114945E+01
   6    0.184243712136312243E+00
   7    0.343655820862528572E+02
   8    0.338353371700149952E+00
   9    0.191363364203333795E-01
  10    0.750704631691027080E+00
  11    0.379857880746525680E+02
  12    0.506878693037624489E-04
  13    0.526087956854080496E+00
  14    0.378740197569076020E+01

MAP Parameters
Dim No.        Parameter
   1   -0.536328698399338860E-01
   2   -0.238885211211096127E+00
   3    0.520131874084472701E+00
   4    0.504368162155151367E+02
   5    0.367958521842956543E+01
   6    0.167695403099060059E+00
   7    0.311318314075469971E+02
   8   -0.222157904566675363E+00
   9    0.564453060635525694E+00
  10    0.993155956268310547E+00
  11    0.906072950363159180E+02
  12    0.428304473226494043E-05
  13    0.218239688873291016E+01
  14    0.519635576009750366E+01
