Nested Sampling Global Log-Evidence           :   -0.384619744960940716E+04  +/-    0.826448388098306008E+00

Dim No.       Mean        Sigma
   1    0.181655381414232799E+02    0.622930937872723134E+00
   2    0.981021843235315139E+01    0.803544622739666980E-01
   3    0.253651214743602194E+00    0.201032940019146237E-02
   4   -0.972416607453915782E+00    0.158175069797788746E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.182827937574418264E+02
   2    0.987131993907744842E+01
   3    0.255371960457711822E+00
   4   -0.960956877987621083E+00

MAP Parameters
Dim No.        Parameter
   1    0.189101768685341014E+02
   2    0.967570279541680378E+01
   3    0.251514296430839224E+00
   4   -0.980360926820149858E+00
