Nested Sampling Global Log-Evidence           :   -0.350209553288440919E+06  +/-    0.139648332213634974E+01

Dim No.       Mean        Sigma
   1    0.856657859424254542E+00    0.633328273319613963E-03
   2    0.559409713765946282E+00    0.723077997441952947E-01
   3    0.965705319295456110E+00    0.383399860500736130E-03
   4    0.975834073633479626E+00    0.187367375353982512E-03
   5    0.978479284413148687E+00    0.120729032091776759E-02
   6    0.113715617093655297E+00    0.155413837511053123E-02
   7    0.125560878358407457E+00    0.205965105497908727E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.857013454078320747E+00
   2    0.630800250420661346E+00
   3    0.965805872964046297E+00
   4    0.975743679865430869E+00
   5    0.977879193171501182E+00
   6    0.113616466482174605E+00
   7    0.123519078122303935E+00

MAP Parameters
Dim No.        Parameter
   1    0.856018023467382649E+00
   2    0.464707426068488805E+00
   3    0.965577749808215202E+00
   4    0.976058365839843955E+00
   5    0.979397320158230333E+00
   6    0.114706386766390778E+00
   7    0.129037809426304773E+00
