Nested Sampling Global Log-Evidence           :   -0.137992529103833076E+06  +/-    0.152602459182274264E+01

Dim No.       Mean        Sigma
   1    0.132123949128264889E+00    0.892859274845679497E-03
   2    0.185856155538689644E+00    0.137162824507483538E-02
   3    0.721844406954024076E+00    0.647516610400687871E-02
   4    0.633118668883862257E+00    0.257659023549725932E-01
   5    0.967245743514849043E+00    0.389960338968503096E-02
   6    0.416044777556047907E+00    0.391755458421078409E-02
   7    0.948170985867675009E+00    0.217786314845835396E-01
   8    0.905187549429978366E+00    0.264165976773285188E-02
   9    0.714641717578906377E+00    0.464054738174374259E-01
  10    0.996364921486204924E+00    0.228998192579387799E-03
  11    0.150468194794602778E-02    0.455582876158444736E-03
  12    0.852570238916739664E+00    0.666502187150189718E-01
  13    0.155350453215957529E+00    0.156051263563440493E-02
  14    0.155802013299476710E+00    0.176354942344743608E-02
  15    0.994503431041227293E+00    0.996644968641922186E-03
  16    0.621129129920437117E+00    0.495725159199180282E-01
  17    0.995479732998081901E+00    0.918342850686237975E-03
  18    0.997493148553576403E+00    0.371119752397459652E-03
  19    0.805677297504762913E+00    0.132634912781068423E-02
  20    0.582312019879272724E+00    0.188633131793670256E-02
  21    0.619555962879398847E+00    0.237669580491717877E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.131485939894585013E+00
   2    0.186160434477631559E+00
   3    0.720175090642349192E+00
   4    0.663709310753776260E+00
   5    0.966721194221656255E+00
   6    0.419538472570371357E+00
   7    0.963106904711690692E+00
   8    0.902833537479599157E+00
   9    0.636151829580777428E+00
  10    0.996531285355298557E+00
  11    0.169137736157078979E-02
  12    0.894311620882483171E+00
  13    0.154804030333005743E+00
  14    0.155149989488337831E+00
  15    0.994743036471983699E+00
  16    0.699148351881579311E+00
  17    0.995885228871731809E+00
  18    0.997148230349712894E+00
  19    0.806748294760072593E+00
  20    0.581488020935247429E+00
  21    0.621660581192576056E+00

MAP Parameters
Dim No.        Parameter
   1    0.131804120805060515E+00
   2    0.186353975007572337E+00
   3    0.718116460063341622E+00
   4    0.662612616734642779E+00
   5    0.964115714461177165E+00
   6    0.418644649038378835E+00
   7    0.955681941801651558E+00
   8    0.901459154001508223E+00
   9    0.629583119733132524E+00
  10    0.996696784338235386E+00
  11    0.196374195716895409E-02
  12    0.931433942584665719E+00
  13    0.155350416464461183E+00
  14    0.155498816423295411E+00
  15    0.995373473892701477E+00
  16    0.684840354421243469E+00
  17    0.996340194007303115E+00
  18    0.996925007615354741E+00
  19    0.805494079883809500E+00
  20    0.582910885736455997E+00
  21    0.620599327404084078E+00
