Nested Sampling Global Log-Evidence           :    0.264198687795243495E+04  +/-    0.582074825387338235E+00

Dim No.       Mean        Sigma
   1    0.847467488756226017E+00    0.241429555039483351E+00
   2    0.140478835190503268E+02    0.161237099520865979E+01
   3    0.156684844004189339E+01    0.546652573171174522E-01
   4    0.203713955927921688E+02    0.945040490784308140E+01
   5    0.148028278472062258E+02    0.478645845695775218E+01
   6    0.240335194774783067E+01    0.158045123950315031E+00
   7    0.282168368263213069E-03    0.222142584212733300E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.806492769446035984E+00
   2    0.159046938243898826E+02
   3    0.160565874064690783E+01
   4    0.263789129041420907E+02
   5    0.233466158758839413E+02
   6    0.254399739321285434E+01
   7    0.837389101562280302E-04

MAP Parameters
Dim No.        Parameter
   1    0.710102802226829866E+00
   2    0.136286643024975227E+02
   3    0.159940676125032821E+01
   4    0.114397742954713504E+02
   5    0.911871686550777660E+01
   6    0.219372948315410721E+01
   7    0.182063590074395265E-03
