Nested Sampling Global Log-Evidence           :    0.312659779116065738E+04  +/-    0.452552951295282224E+00

Dim No.       Mean        Sigma
   1    0.158393204668190855E+02    0.980165623240995387E+01
   2    0.894772736347385234E+01    0.579626732994908433E+01
   3    0.516865580325421714E+01    0.331202627167170016E+01
   4    0.209201671964763847E+02    0.102615308261705493E+02
   5    0.122361220623481746E+02    0.555445358369217068E+01
   6    0.263222465658060267E+01    0.687650450665328039E+00
   7    0.169916269520822925E-02    0.622441071109989803E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.125528743094315232E+01
   2    0.438414866925000624E+01
   3    0.258719250087917763E+01
   4    0.152912308012003422E+02
   5    0.147601455806000992E+02
   6    0.258735213679896159E+01
   7    0.164044391411097279E-02

MAP Parameters
Dim No.        Parameter
   1    0.365301424656067013E+02
   2    0.435776412566885618E+01
   3    0.427759647827020117E+01
   4    0.899304812454970204E+01
   5    0.135259431794290705E+02
   6    0.260567703862587763E+01
   7    0.111556360539437349E-02
