Nested Sampling Global Log-Evidence           :    0.312189803395669878E+04  +/-    0.726698526596923688E+00

Dim No.       Mean        Sigma
   1   -0.949057083605580254E-03    0.484011955542952121E-03
   2   -0.228150979784723856E-03    0.356643727310221456E-03
   3    0.893626719043386308E+00    0.306355443451196289E-02
   4    0.450029004475222791E+02    0.905209758729363489E+00
   5    0.680847117956644876E+00    0.331363463564079280E-01
   6    0.996397973405940385E+00    0.288931704930237079E-01
   7    0.466609343459870196E+01    0.824660779556837809E-01
   8   -0.477119820339898075E-02    0.480928721651907056E-03
   9   -0.360160073087663129E-02    0.445612047830354113E-03
  10    0.684647582479351646E+00    0.121730204991391954E-02
  11    0.449586732271581866E+02    0.139704824286513374E+00
  12    0.160745936552245872E+01    0.470315205748082158E-03
  13    0.520819499087220514E-01    0.415527028786521135E-03
  14    0.873429970920622196E+02    0.210228134858477939E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.948262487210100235E-03
   2   -0.473170005089256597E-04
   3    0.893934730634645569E+00
   4    0.440680711101943174E+02
   5    0.692701217167605354E+00
   6    0.986087461116645692E+00
   7    0.462813877714145594E+01
   8   -0.460145136510759032E-02
   9   -0.409879860721820439E-02
  10    0.684863971478171130E+00
  11    0.449949165288891209E+02
  12    0.160773034961360595E+01
  13    0.520582585910569356E-01
  14    0.873919632073364454E+02

MAP Parameters
Dim No.        Parameter
   1   -0.137334980898641892E-02
   2   -0.103250504026848432E-03
   3    0.893243497661798336E+00
   4    0.436522148431348143E+02
   5    0.627625703095634924E+00
   6    0.104222928781358037E+01
   7    0.480591552081207052E+01
   8   -0.443560806123115790E-02
   9   -0.390510992341779268E-02
  10    0.685351855695414791E+00
  11    0.449552370261977288E+02
  12    0.160766678341811597E+01
  13    0.520867133084943965E-01
  14    0.874170936959609151E+02
