Nested Sampling Global Log-Evidence           :    0.392504681815411050E+04  +/-    0.428393261598789599E+00

Dim No.       Mean        Sigma
   1    0.164367873922049199E+02    0.976056953011146256E+01
   2    0.832887049213795372E+01    0.375411768053882033E+01
   3    0.197771318684030284E+01    0.275322264861518007E+00
   4    0.175654351071974340E+02    0.103993521173469698E+02
   5    0.905112742475574095E+01    0.615507132582042171E+01
   6    0.901383653986852806E+01    0.430052061670074259E+01
   7    0.122109794476417746E-02    0.583481223210284084E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.511562159307181830E+01
   2    0.713552122757734608E+01
   3    0.205300415419193616E+01
   4    0.189230778471045831E+02
   5    0.812812613846493548E+01
   6    0.298675939822057135E+01
   7    0.101581517493859463E-02

MAP Parameters
Dim No.        Parameter
   1    0.217869528639105425E+01
   2    0.169253212265636463E+02
   3    0.246960569322951340E+01
   4    0.561619966053008568E+01
   5    0.225563533015628526E+01
   6    0.720203871617689551E+01
   7    0.619220974208328778E-03
