Nested Sampling Global Log-Evidence           :    0.451439587735758505E+04  +/-    0.348004160232233295E+00

Dim No.       Mean        Sigma
   1    0.138533521994220177E+02    0.888091049860194204E+01
   2    0.804960023098263733E+01    0.510968110622696159E+01
   3    0.923269771120723171E+01    0.421383002994013722E+01
   4    0.268280405383892659E-03    0.234787418252080431E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.176599149656986611E+02
   2    0.458537404516298963E+01
   3    0.109197721514363710E+02
   4    0.140503318444900813E-07

MAP Parameters
Dim No.        Parameter
   1    0.240081590931710167E+02
   2    0.187635404903446990E+01
   3    0.608820816244288565E+01
   4    0.308680871137614497E-03
