Nested Sampling Global Log-Evidence           :    0.354902827070954163E+04  +/-    0.641223415658687901E+00

Dim No.       Mean        Sigma
   1    0.203547527894871791E+02    0.205391715122186624E+00
   2    0.314110026254206431E+02    0.237810508790487013E+00
   3    0.993670333565313313E+00    0.576604767229288873E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.206866675505723485E+02
   2    0.316334183072397863E+02
   3    0.986815177486096262E+00

MAP Parameters
Dim No.        Parameter
   1    0.204560740707904536E+02
   2    0.310555207652664507E+02
   3    0.100510862939898704E+01
