Nested Sampling Global Log-Evidence           :    0.356769577029741458E+04  +/-    0.322926153644913838E+00

Dim No.       Mean        Sigma
   1    0.187344107231159711E+02    0.115466807437375856E+02
   2    0.972512418315060145E+01    0.615959042849253535E+01
   3    0.877938936165658923E+01    0.479472666209727549E+01
   4    0.109793008029178125E-02    0.585546860223718694E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.566245947215023833E+02
   2    0.148183826076602507E+02
   3    0.314299541142963301E+01
   4    0.874487497829766740E-03

MAP Parameters
Dim No.        Parameter
   1    0.239043273436230095E+02
   2    0.454262946262088008E+01
   3    0.102067305546739675E+02
   4    0.165799155791036086E-02
