Nested Sampling Global Log-Evidence           :    0.466856190550745941E+04  +/-    0.504460064847714440E+00

Dim No.       Mean        Sigma
   1    0.103940485328697143E+02    0.505773360817203965E+01
   2    0.469350821800314488E+01    0.269680441360760081E+01
   3    0.639869814578178975E+01    0.195231130507186634E+01
   4   -0.258727548288584762E-02    0.505057361168613841E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.121514958540147902E+02
   2    0.484781944801325881E+01
   3    0.344281674425454831E+01
   4   -0.255029999868272572E-02

MAP Parameters
Dim No.        Parameter
   1    0.152832882095556482E+02
   2    0.510950168994011733E+01
   3    0.834709469441931873E+01
   4   -0.200818417259662763E-02
