Nested Sampling Global Log-Evidence           :    0.357310737431524512E+04  +/-    0.331140558156795384E+00

Dim No.       Mean        Sigma
   1    0.184678119722328198E+02    0.101191641955098923E+02
   2    0.932195423058769457E+01    0.544437563050076534E+01
   3    0.843174400291041692E+01    0.464517163318519710E+01
   4    0.969258882475208979E-03    0.538218076149503725E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.451580815898341541E+02
   2    0.934047167394226996E+01
   3    0.306093855259544867E+01
   4    0.842518466211964433E-03

MAP Parameters
Dim No.        Parameter
   1    0.574692887795873997E+01
   2    0.938944965731169567E+01
   3    0.363700874078962855E+01
   4    0.162835234149778232E-02
